#{"t_start": 1620345268.8266912, "env_id": null}
r,l,t
-2673.379303,401,1317.404098
-2938.945923,401,1322.956702
-3480.316702,401,1328.474264
-3402.366256,401,1333.881184
-2733.09873,401,1339.339909
-3380.626312,401,1344.732246
-3417.477005,401,1350.105301
-4097.401337,401,1355.507238
-3478.297449,401,1360.878836
-3219.700816,401,1366.235923
-3941.614152,401,1371.622996
-4127.478059,401,1376.98332
-2290.469045,401,1382.354014
-4172.590353,401,1387.714342
-2706.194393,401,1393.414933
-2974.443612,401,1398.745397
-4602.002109,401,1404.113359
-3616.76463,401,1409.570191
-2632.070345,401,1414.938335
-3003.504034,401,1420.286664
-3094.570157,401,1425.666915
-2649.24472,401,1431.052973
-1342.753022,401,1436.47915
-2960.051429,401,1441.858703
-3256.970651,401,1447.223733
-2997.879612,401,1452.60707
-3099.630362,401,1457.978679
-3053.701306,401,1463.35559
-1725.813665,401,1468.713619
-2200.057579,401,1474.278993
-1889.706139,401,1479.667826
-3211.028253,401,1485.045569
-4479.031106,401,1490.420183
-4065.310045,401,1495.786588
-2384.231973,401,1501.18452
-3185.761399,401,1506.531098
-3475.12545,401,1511.901213
-1482.234824,401,1517.28082
-2839.801929,401,1522.661974
-3642.278634,401,1528.005409
-1846.469102,401,1533.366707
-2837.646407,401,1538.700944
-3114.140422,401,1544.13057
-2877.218677,401,1549.476907
-3361.559116,401,1554.82835
-2761.492691,401,1560.203359
-2859.755928,401,1565.56611
-2294.32002,401,1570.995337
-2805.367653,401,1576.356596
-3791.620994,401,1581.694571
-2639.861343,401,1587.067915
-3036.88196,401,1592.412486
-1076.737526,401,1597.808996
-3103.135931,401,1603.15831
-477.632608,401,1608.482193
-2544.940976,401,1613.896654
-3235.518723,401,1619.336913
-1427.826769,401,1624.800148
-2737.984163,401,1630.219179
-1973.542348,401,1635.664157
-2505.165861,401,1641.557792
-1597.052991,401,1646.932207
-1731.001728,401,1652.386931
-3194.719701,401,1657.759607
-2972.897593,401,1663.109313
-1900.790027,401,1668.499838
-2302.947542,401,1673.917876
-4785.326154,401,1679.36936
-2246.106305,401,1684.812739
-763.099626,401,1690.227535
-1267.852073,401,1695.583849
-1697.097801,401,1700.984774
-2110.883897,401,1706.419725
-4507.401668,401,1711.92531
-2933.141704,401,1717.318883
-1705.378534,401,1722.652272
-1520.382235,401,1728.104537
-1998.895547,401,1733.609477
-1903.77239,401,1739.003277
-2303.584018,401,1744.411612
-2087.375916,401,1749.808385
-3368.404432,401,1755.175194
-2623.495329,401,1760.622614
-1117.634313,401,1766.11679
-638.544539,401,1771.509537
-1723.485165,401,1776.888338
-775.08305,401,1782.486511
-5354.565465,401,1787.877103
-4838.4398,401,1793.326363
-1256.21356,401,1798.744802
-2977.005955,401,1804.161309
-1050.370819,401,1809.504735
-2966.118532,401,1814.875972
-2152.038557,401,1820.571886
-2124.076274,401,1825.967369
-1848.660085,401,1831.308303
-844.896061,401,1836.715282
-1172.654881,401,1842.127941
-675.039511,401,1847.516812
-1785.983182,401,1852.899742
-3521.495245,401,1858.371866
-1899.25665,401,1863.738779
-1374.837745,401,1869.170276
-2943.68798,401,1874.519521
-2726.660135,401,1880.236876
-4913.235741,401,1885.647884
-1304.915293,401,1891.096234
-2675.891182,401,1896.536928
-1310.58413,401,1901.980389
-2409.630963,401,1907.367512
-798.140382,401,1912.774121
-1824.463449,401,1918.137681
-3224.801957,401,1923.587453
-3347.724932,401,1929.076122
-4971.66473,401,1934.478329
-2788.236949,401,1939.998228
-2072.972511,401,1945.435709
-2250.159662,401,1950.831096
-1382.168139,401,1956.342405
-2080.146697,401,1961.699446
-1028.066029,401,1967.111156
-373.938059,401,1972.505285
-2716.833175,401,1977.911261
-186.949826,401,1983.311134
-2483.375544,401,1988.910135
-2286.921359,401,1994.368883
-2039.475336,401,1999.74369
-351.434851,401,2005.265987
-196.921829,401,2010.659855
-1568.077971,401,2016.042893
-2500.527559,401,2021.441902
-270.777999,401,2026.852498
-2509.330684,401,2032.320348
-924.656683,401,2037.681138
-433.648099,401,2043.076285
-255.663505,401,2048.474261
-1146.011205,401,2053.934186
-683.544668,401,2059.374169
-1630.610455,401,2064.783655
-795.086793,401,2070.183655
-1932.844468,401,2075.585928
-1347.438787,401,2080.984261
-1853.990198,401,2086.384501
-3731.908622,401,2091.763714
-1116.710065,401,2097.174571
-385.295671,401,2102.806631
-417.675926,401,2108.22121
-1550.767631,401,2113.634372
-3072.227028,401,2119.100061
-299.681498,401,2124.51169
-324.888483,401,2129.968392
-557.075802,401,2135.410284
-1264.615033,401,2140.852231
-2931.137653,401,2146.350804
-1569.924935,401,2151.836328
-1691.729319,401,2157.207664
-258.661899,401,2162.601771
-3906.613462,401,2168.00706
-684.170252,401,2173.501293
-2827.294323,401,2178.911217
-300.96175,401,2184.284008
-369.935635,401,2189.699238
-1128.06303,401,2195.214569
-961.387821,401,2200.707562
-5677.134949,401,2206.089041
-1275.503415,401,2211.509372
-965.065573,401,2216.986885
-298.055901,401,2222.429329
-159.976572,401,2227.790378
-318.449518,401,2233.202086
-220.911125,401,2238.70588
-352.174938,401,2244.144605
